t,x1,x2
1,1.11067217,-2.107861743
1,-0.549836934,0.094260745
1,-0.0382198,1.882927352
1,0.055460684,-0.613890141
1,0.587016609,-1.206708908
1,0.545330536,0.250930384
1,-0.392747467,-0.622041928
1,-1.190476706,-1.878466651
1,-0.42400841,0.777241934
1,-0.713926,1.584639671
1,-0.888311322,2.140829538
1,-0.692178121,0.099297348
1,1.434978434,1.23340117
1,-0.757644539,0.738578144
1,-1.114361235,-1.705869084
1,0.661162349,-1.729642014
1,-2.138073512,-0.060047665
1,1.385690707,1.217815855
1,-1.495050826,0.0372831
1,0.802870872,0.973853588
1,1.560733856,1.586249542
1,0.856297777,-1.424483017
1,0.039702337,-1.379911621
1,1.233070902,1.742076382
1,-2.001495089,0.835496992
1,-0.342818326,-0.477962101
1,-0.889101413,1.263429117
1,0.383201165,-0.11886736
1,0.417247165,1.013221812
1,-0.869517491,-0.794680477
2,2.973689264,3.643781125
2,3.768019884,1.864910606
2,0.116593183,0.943521364
2,0.689641566,3.91597442
2,1.223416401,2.989905064
2,2.300915397,0.415038441
2,3.769284416,3.802663048
2,1.944991738,3.420758412
2,0.928968417,3.361141861
2,5.002682323,2.787013136
2,1.01013322,1.873660936
2,2.075115653,2.26283532
2,1.911277922,3.677654864
2,2.312736883,3.91301605
2,1.939245562,2.397576504
2,3.121753959,2.549480019
2,1.703153948,1.150914605
2,0.421199321,3.532226202
2,2.768574516,0.940191306
2,2.169575991,2.928478991
2,0.337953554,2.094691583
2,3.688630787,0.40537017
2,2.631487868,3.196224591
2,-0.533220351,3.142074947
2,0.337963419,3.080075105
2,1.402967267,1.184125876
2,2.873939651,2.777664199
2,1.125397536,3.240392227
2,0.098847067,1.952218322
2,0.368789659,2.890362348
3,1.475805241,-1.638659605
3,1.928893968,-1.81909707
3,2.574071706,-1.321300564
3,2.191693876,-1.285191355
3,0.835840203,-2.334946284
3,2.68632968,-1.883352892
3,3.1101573,-0.485390834
3,3.707328091,-0.646615961
3,3.639377731,-0.40971678
3,0.536516931,-3.655459849
3,2.929488011,-0.381928631
3,0.816848238,-3.11329702
3,1.343234192,-1.771732112
3,1.103919123,-2.226082902
3,1.375426869,-2.223569342
3,0.675746302,-2.537872897
3,-0.202902859,-3.842031673
3,2.421004448,-1.978831329
3,1.033541247,-2.604204155
3,0.963788593,-2.944898715
3,-0.819766794,-5.444898583
3,1.955246871,-1.552972531
3,0.350496412,-3.188729048
3,2.494323248,-1.811616583
3,1.97607534,-1.066360998
3,0.599418986,-3.051252396
3,2.207550677,-1.672810894
3,1.994119517,-1.882637777
3,1.748660755,-2.964367187
3,1.415983815,-2.423423349
